
Epoch: 100, train_Loss: 3258.118, val_Loss: 2671.839
Epoch: 101, train_Loss: 3257.125, val_Loss: 2671.742
Epoch: 102, train_Loss: 3257.111, val_Loss: 2671.783
Epoch: 103, train_Loss: 3257.118, val_Loss: 2671.826
Epoch: 104, train_Loss: 3255.240, val_Loss: 2662.892
Epoch: 105, train_Loss: 3255.484, val_Loss: 2662.208
Epoch: 106, train_Loss: 3250.534, val_Loss: 2669.966
Epoch: 107, train_Loss: 3255.344, val_Loss: 2670.267
Epoch: 108, train_Loss: 3255.598, val_Loss: 2670.422
Epoch: 109, train_Loss: 3255.687, val_Loss: 2670.514
Epoch: 110, train_Loss: 3255.816, val_Loss: 2670.574
Epoch: 111, train_Loss: 3255.906, val_Loss: 2670.616
Epoch: 112, train_Loss: 3255.908, val_Loss: 2670.643
Epoch: 113, train_Loss: 3255.932, val_Loss: 2670.662
Epoch: 114, train_Loss: 3255.947, val_Loss: 2670.674
Epoch: 115, train_Loss: 3255.953, val_Loss: 2670.683
Epoch: 116, train_Loss: 3256.202, val_Loss: 2670.697
Epoch: 117, train_Loss: 3256.002, val_Loss: 2670.699
Epoch: 118, train_Loss: 3257.134, val_Loss: 2661.106
Epoch: 119, train_Loss: 3246.084, val_Loss: 2671.162
Epoch: 120, train_Loss: 3256.908, val_Loss: 2671.918
Epoch: 121, train_Loss: 3257.462, val_Loss: 2672.220
Epoch: 122, train_Loss: 2994.403, val_Loss: 1801.907
Epoch: 123, train_Loss: 2069.551, val_Loss: 1492.500
Epoch: 124, train_Loss: 1666.049, val_Loss: 1271.754
Epoch: 125, train_Loss: 1489.761, val_Loss: 1157.006
Epoch: 126, train_Loss: 1393.636, val_Loss: 1120.464
Epoch: 127, train_Loss: 1317.876, val_Loss: 1042.605
Epoch: 128, train_Loss: 1237.108, val_Loss: 1028.271
Epoch: 129, train_Loss: 1201.705, val_Loss: 1008.543
Epoch: 130, train_Loss: 1157.838, val_Loss: 947.757
Epoch: 131, train_Loss: 1108.787, val_Loss: 957.376
Epoch: 132, train_Loss: 1072.674, val_Loss: 947.424
Epoch: 133, train_Loss: 1047.224, val_Loss: 887.369
Epoch: 134, train_Loss: 1018.289, val_Loss: 864.396
Epoch: 135, train_Loss: 979.595, val_Loss: 838.416
Epoch: 136, train_Loss: 954.594, val_Loss: 839.618
Epoch: 137, train_Loss: 926.167, val_Loss: 817.772
Epoch: 138, train_Loss: 904.489, val_Loss: 786.342
Epoch: 139, train_Loss: 877.842, val_Loss: 800.242
Epoch: 140, train_Loss: 859.969, val_Loss: 762.292
Epoch: 141, train_Loss: 857.449, val_Loss: 765.084
